,Eg (eV),Comp
0,0.35,Hg0.7Cd0.3Te
1,3.08,CuBr
2,1.3,LuP
3,0.4,Cu3SbSe4
4,3.44,ZnO
5,0.08,PtSb2
6,2.68,ZnIn2S4
7,2.26,K2Cd3Te4
8,2.46,K4Sn3Ce3S14
9,1.8,Pb6B2CrO12
10,0.22,InSb
11,8.0,Sr2Be2B2O7
12,2.82,K2CuNbS4
13,1.02,PrTe2
14,1.46,BAs
15,2.18,Ba4Ga4GeSe12
17,0.07,HgSe
18,0.47,AgIn5Te8
19,2.07,Rb7Th2P6Se21
20,1.37,TlS
21,2.5,CdS
22,3.1,Al2Se3
23,0.68,In2GeTe3
24,1.5,BiSeBr
25,2.1,GaAs0.4P0.6
26,2.63,K2AuPS4
27,4.77,CsH3Se2O6
28,5.76,CsB3GeO7
29,0.3,Pb0.97Sn0.03Te
30,0.55,PtAs2
31,3.1,SnGa4S7
32,5.1,Si3N4
33,1.2,Gd1.05Sc0.95Se3
34,2.31,Cs2ZnGe3Se8
35,3.41,CeO2
36,2.21,KAgAsS2
37,0.8,Mn11Si19
38,3.73,SrTe
39,0.21,Pb0.97Se0.97Sn0.03Se0.03
40,3.14,LaCuOS
41,1.67,AlSb
42,2.2,Tl2AuPS4
43,2.96,Cs3Sn3F2Cl7
44,1.0,Cs1.13Cd1.13Bi2.87Se6
45,3.02,AgI
47,1.83,Hg0.1Zn0.9Te
48,0.5,TlBiTe3
49,3.24,CuCl
50,0.06,Pb0.92Sn0.08Se
51,1.75,CdSe
52,0.75,Cu3SbS4
53,1.46,GaAs
54,1.76,As2Te3
55,3.68,SrB6
56,3.25,GaN
57,0.24,Cd3As2
58,2.9,WO3
59,1.3,EuYb2Se4
60,0.25,Bi2Te2.4Se0.6
61,1.0,Ge0.3Si0.7
62,4.17,CuN3
63,1.05,CdP4
64,4.4,MnI2
66,1.18,TmAs
68,1.93,Ga0.3As0.3Zn0.7Se0.7
69,3.8,Cd4GdB3O10
70,0.54,Cd3P2
71,1.03,SmAs
72,2.1,RbSbS2
73,3.38,Na5GdMo4O16
74,2.96,Sr2V2Se3O15
75,1.41,UP2S7
77,2.8,TaON
78,7.65,RbBr
79,0.4,PdSe2
80,4.09,Ba3EuP3O12
82,1.66,SbSeI
83,0.7,KBiSe2
84,0.21,Bi0.4Te3Sb1.6
85,1.95,Na2TeSe3
86,0.69,Tl2Te3
87,2.34,Al0.74Gd3Si0.7S7
88,2.12,CsTbZnTe3
89,2.64,BaB6
90,2.6,La5In3S9O3
91,3.02,PbN6
93,6.97,CaO
94,2.4,Na2S
95,2.3,Rb2Cd3Te4
98,1.2,SnSe
99,1.53,Rb2BaNb2Se11
100,1.72,TaZrN3
101,3.87,Ba3In2P4O16
102,1.58,In0.2P0.2Ga0.8As0.8
103,3.88,RbTa3Te2O12
104,1.8,GaTe
106,1.43,Ag2SnS3
108,1.15,Ba2GaErTe5
109,4.69,Na3MoO4Cl
110,2.5,K2Hg3Sn2S8
111,0.57,CdSb
112,1.22,GeSe
113,2.85,HfS3
114,0.65,Ga0.9Sb0.9Hg0.1Te0.1
115,1.8,InSb2S4Cl
116,2.59,GaS
117,0.8,PtS
118,0.9,AgS
119,2.44,Cs2P2Se8
120,2.06,Y4GaSbS9
121,2.3,Zn0.55S0.55Ga0.45P0.45
122,2.7,Zn0.95S0.95Ga0.05P0.05
123,0.32,Mg2Sn
